,Macropygia_unchall,Streptopelia_chinensis,Streptopelia_senegalensis,Columba_pulchricollis,Streptopelia_orientalis,Chalcophaps_indica,Treron_curvirostra,Treron_apicauda,Treron_sphenurus,Treron_phoenicopterus,Ducula_badia,Surniculus_lugubris,Hierococcyx_sparverioides,Hierococcyx_varius,Cuculus_saturatus,Cuculus_canorus,Cuculus_micropterus,Eudynamys_scolopaceus,Phaenicophaeus_tristis,Ceyx_erithaca,Merops_orientalis,Megalaima_haemacephala,Megalaima_asiatica,Megalaima_lineata,Megalaima_zeylanica,Megalaima_franklinii,Megalaima_virens,Picumnus_innominatus,Sasia_ochracea,Blythipicus_pyrrhotis,Chrysocolaptes_lucidus,Micropternus_brachyurus,Picus_flavinucha,Picus_chlorolophus,Picus_squamatus,Picus_canus,Dinopium_benghalense,Dendrocopos_canicapillus,Dendrocopos_auriceps,Dendrocopos_himalayensis,Dendrocopos_darjellensis,Dendrocopos_macei,Hypopicus_hyperythrus,Aceros_undulatus,Aceros_nipalensis,Anthracoceros_albirostris,Ocyceros_birostris,Buceros_bicornis,Harpactes_erythrocephalus,Harpactes_wardi,Glaucidium_radiatum,Glaucidium_cuculoides,Glaucidium_brodiei,Psittacula_alexandri,Psittacula_eupatria,Psittacula_krameri,Psittacula_himalayana,Microhierax_caerulescens,Spelaeornis_formosus,Sturnia_malabarica,Acridotheres_tristis,Gracula_religiosa,Enicurus_maculatus,Cinclidium_frontale,Myophonus_caeruleus,Myiomela_leucura,Tarsiger_rufilatus,Tarsiger_indicus,Tarsiger_chrysaeus,Muscicapa_ruficauda,Ficedula_hyperythra,Ficedula_tricolor,Muscicapella_hodgsoni,Ficedula_strophiata,Ficedula_sapphira,Ficedula_westermanni,Ficedula_superciliaris,Phoenicurus_frontalis,Phoenicurus_coeruleocephala,Monticola_rufiventris,Monticola_cinclorhynchus,Saxicola_ferreus,Luscinia_pectoralis,Hodgsonius_phaenicuroides,Brachypteryx_leucophrys,Brachypteryx_montana,Brachypteryx_hyperythra,Luscinia_brunnea,Ficedula_monileger,Cyornis_unicolor,Cyornis_rubeculoides,Cyornis_poliogenys,Cyornis_tickelliae,Niltava_macgrigoriae,Niltava_sundara,Niltava_grandis,Eumyias_thalassinus,Muscicapa_ferruginea,Muscicapa_sibirica,Muscicapa_dauurica,Copsychus_malabaricus,Copsychus_saularis,Zoothera_citrina,Turdus_rubrocanus,Turdus_albocinctus,Turdus_maximus,Turdus_boulboul,Zoothera_dauma,Zoothera_mollissima,Cochoa_purpurea,Sitta_leucopsis,Sitta_cinnamoventris,Sitta_himalayensis,Sitta_frontalis,Sitta_formosa,Troglodytes_troglodytes,Certhia_himalayana,Certhia_discolor,Certhia_nipalensis,Certhia_familiaris,Orthotomus_sutorius,Prinia_socialis,Prinia_hodgsonii,Prinia_crinigera,Aegithalos_niveogularis,Aegithalos_concinnus,Abroscopus_superciliaris,Cettia_fortipes,Phyllergates_cucullatus,Tesia_castaneocoronata,Cettia_brunnifrons,Tesia_olivea,Tesia_cyaniventer,Phylloscopus_maculipennis,Phylloscopus_pulcher,Phylloscopus_humei,Phylloscopus_chloronotus,Phylloscopus_tytleri,Phylloscopus_affinis,Phylloscopus_cantator,Phylloscopus_occipitalis,Phylloscopus_reguloides,Phylloscopus_xanthoschistos,Seicercus_castaniceps,Phylloscopus_trochiloides,Phylloscopus_magnirostris,Seicercus_whistleri,Seicercus_affinis,Seicercus_burkii,Seicercus_poliogenys,Grammatoptila_striata,Cutia_nipalensis,Turdoides_striata,Ianthocincla_ocellata,Garrulax_pectoralis,Garrulax_albogularis,Garrulax_leucolophus,Leiothrix_argentauris,Leiothrix_lutea,Actinodura_nipalensis,Actinodura_waldeni,Actinodura_egertoni,Minla_cyanouroptera,Minla_strigula,Minla_ignotincta,Heterophasia_annectans,Liocichla_phoenicea,Heterophasia_pulchella,Heterophasia_capistrata,Heterophasia_picaoides,Trochalopteron_subunicolor,Trochalopteron_lineatum,Trochalopteron_variegatum,Trochalopteron_affine,Trochalopteron_erythrocephalum,Alcippe_nipalensis,Malacocincla_abbotti,Napothera_epilepidota,Pellorneum_ruficeps,Schoeniparus_rufogularis,Schoeniparus_cinerea,Schoeniparus_castaneceps,Stachyridopsis_rufifrons,Stachyridopsis_pyrrhops,Stachyridopsis_ruficeps,Stachyridopsis_chrysaea,Macronous_gularis,Spelaeornis_caudatus,Pomatorhinus_ferruginosus,Pomatorhinus_schisticeps,Stachyris_nigriceps,Pomatorhinus_erythrogenys,Yuhina_bakeri,Yuhina_flavicollis,Yuhina_occipitalis,Yuhina_gularis,Yuhina_nigrimenta,Zosterops_palpebrosus,Fulvetta_vinipectus,Paradoxornis_fulvifrons,Paradoxornis_nipalensis,Conostoma_oemodium,Paradoxornis_ruficeps,Paradoxornis_gularis,Pnoepyga_albiventer,Pnoepyga_pusilla,Pnoepyga_immaculata,Pycnonotus_striatus,Hemixos_flavala,Hypsipetes_leucocephalus,Hypsipetes_mcclellandi,Alophoixus_flaveolus,Pycnonotus_flaviventris,Pycnonotus_cafer,Pycnonotus_leucogenys,Parus_rufonuchalis,Parus_rubidiventris,Parus_melanolophus,Parus_ater,Parus_dichrous,Parus_monticolus,Parus_major,Parus_spilonotus,Melanochlora_sultanea,Sylviparus_modestus,Culicicapa_ceylonensis,Chelidorhynx_hypoxantha,Irena_puella,Chloropsis_hardwickii,Chloropsis_aurifrons,Passer_rutilans,Petronia_xanthocollis,Emberiza_fucata,Pyrrhula_aurantiaca,Pyrrhula_erythrocephala,Pyrrhula_erythaca,Carpodacus_rubescens,Pyrrhoplectes_epauletta,Carpodacus_nipalensis,Leucosticte_nemoricola,Carpodacus_erythrinus,Carpodacus_thura,Carpodacus_rodochroa,Mycerobas_icterioides,Mycerobas_affinis,Mycerobas_carnipes,Mycerobas_melanozanthos,Anthus_roseatus,Anthus_hodgsoni,Prunella_strophiata,Dicaeum_agile,Dicaeum_cruentatum,Dicaeum_ignipectus,Dicaeum_minullum,Arachnothera_magna,Cinnyris_asiaticus,Aethopyga_ignicauda,Aethopyga_siparaja,Aethopyga_saturata,Aethopyga_nipalensis,Regulus_regulus,Erpornis_zantholeuca,Pteruthius_flaviscapis,Pteruthius_melanotis,Pteruthius_xanthochlorus,Oriolus_kundoo,Oriolus_xanthornus,Oriolus_traillii,Aegithina_tiphia,Tephrodornis_gularis,Tephrodornis_pondicerianus,Hemipus_picatus,Pericrocotus_solaris,Pericrocotus_speciosus,Pericrocotus_brevirostris,Pericrocotus_ethologus,Pericrocotus_cinnamomeus,Coracina_melanoptera,Coracina_macei,Dicrurus_remifer,Dicrurus_paradiseus,Dicrurus_hottentottus,Dicrurus_leucophaeus,Dicrurus_macrocercus,Dicrurus_aeneus,Rhipidura_albicollis,Hypothymis_azurea,Terpsiphone_paradisi,Dendrocitta_formosae,Dendrocitta_vagabunda,Urocissa_flavirostris,Nucifraga_caryocatactes,Corvus_japonensis,Corvus_culminatus,Psarisomus_dalhousiae,Pitta_brachyura,Megalaima_australis,Caprimulgus_macrurus,Picus_xanthopygaeus,Cettia_pallidipes,Nyctyornis_athertoni,Pericrocotus_roseus,Psittacula_cyanocephala,Abroscopus_albogularis
U1,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,2,0,0,0,0,0,0,0,4,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,0,0,0,0,0,2,0,0,4,4,10,2,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,12,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,6,0,0,0,0,0,2,0,2,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,2,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,0,0,2,0,4,2,6,2,0
U2,0,2,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,6,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,4,0,6,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,2,0,0,0,4,0,0,0,2,0,0,0,0,2,10,0,0,0,0,0,0,0,0,0,2,2,2,0,8,4,0
MA,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,4,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,8,0,6,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,4,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
A2,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,4,2,0,0,0,0,0,0,2,0,2,0,0,2,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,2,4,0,0,0,0,0,0,10,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,4,0,0,4,0,0,0,2,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A3,0,0,0,0,0,0,0,2,0,0,2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,2,0,0,0,0,0,0,2,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,2,0,0,10,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,8,0,2,2,0,0,0,12,0,0,2,14,0,0,2,10,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2,0,10,0,0,0,0,0,0,0,0,0,0,0,2,0,4,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,2,0,0,6,0,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
A4,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,2,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,8,0,0,0,2,2,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,18,0,0,0,0,0,0,2,0,4,0,0,2,0,2,30,0,0,0,12,0,0,0,8,2,0,0,2,0,0,0,0,0,6,0,2,0,0,30,0,0,0,0,10,0,0,2,0,0,0,2,4,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,6,0,0,0,4,4,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,2,0,0,2,0,0,12,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0
A6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,2,2,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0,2,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,14,0,0,2,0,0,0,0,28,0,20,0,4,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,6,10,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,8,8,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,2,6,14,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
A7,0,0,0,2,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,6,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,6,6,0,0,0,0,0,0,0,28,0,16,0,2,12,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,2,6,4,0,0,4,0,0,0,0,0,0,2,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,6,2,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,0,4,14,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
A8,0,0,0,0,0,0,0,2,0,0,2,0,0,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,0,0,4,0,0,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,6,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,4,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,4,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
B1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,10,0,0,0,6,0,0,0,0,0,0,0,0,0,0,6,6,0,0,0,0,0,0,0,12,2,2,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,2,4,0,8,16,2,0,0,0,0,0,0,0,24,0,18,0,0,0,18,4,0,4,0,0,0,0,6,0,0,0,0,4,0,0,2,0,0,0,0,2,0,0,0,0,0,2,0,0,0,0,0,8,2,0,0,2,0,0,0,0,0,0,0,0,14,0,6,0,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,22,0,0,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0
