GRID,Elevation,North,East,WorE
A2,198.25,26.97898333,92.921975,E
A3,734.25,27.00626667,92.404575,E
A4,1243.25,27.02749583,92.41040834,E
A6,2629,27.14773334,92.45937917,E
A7,2340.25,27.09197917,92.40856667,E
A8,300,26.96138,93.01216,E
B1,1932.25,27.061125,88.77066667,E
B2,164.25,26.62938334,89.58295834,E
B3,153.5,26.63125,89.58324167,E
B4,209.75,26.8964225,88.8559325,E
B5,1970.25,27.063185,88.77039,E
D1,4024.25,27.469675,88.16467084,E
D3,4094.25,27.47734167,88.16261667,E
G1,3151.5,27.44546667,88.17529167,E
J1,480.5,32.75515417,74.86682084,W
J2,1875,33.07107917,75.330475,W
J4,1560.75,33.10009,75.12887,W
J5,989.25,32.9797325,75.12148,W
J6,560.25,32.7658525,74.870395,W
K1,3249.75,33.97840417,75.249475,W
K2,2808.5,33.975725,75.2413875,W
K4,3620.25,33.98672083,75.25224167,W
K5,1735,34.14562,74.9190225,W
K6,2288.25,33.950585,75.251605,W
L1,3387.5,32.50053333,76.98170417,W
M1,2982.666667,32.24164584,77.13103333,W
M2,3285,32.23605834,77.1272125,W
M3,2439.75,32.24672917,77.16115833,W
M4,3730,32.22755417,77.13241667,W
N1,3025.75,27.77019167,88.52123334,E
N2,3952.25,27.89490834,88.5281125,E
N3,3362.333333,27.82227917,88.55260417,E
S1,2358.75,27.416375,88.19794167,E
U3,495.75,30.1634125,77.9147375,W
U4,1248,31.01455417,78.0477375,W
MA,1290,25.441827,90.437366,E
U1,435,29.721111,78.58638889,W
U2,866.5,29.79152778,78.62611111,W
