,bill_length,bill_width,bill_depth,wing,tarsus,mass
Macropygia_unchall,11.08,4.26,4.97,197.55,26.305,168
Streptopelia_chinensis,10.765,3.505,3.87,140,22.62,159
Streptopelia_senegalensis,9.23,2.88,3.27,130.225,20.35,83.9
Columba_pulchricollis,12.983,5.595,5.678,203.075,25.373,330
Streptopelia_orientalis,10.88,4.095,3.895,192.4,25.54,233
Chalcophaps_indica,11.765,3.61,4.415,150.8,26.27,121
Treron_curvirostra,11.2,5.525,7.95,140.5,21.325,134.5
Treron_apicauda,11.567,5.967,6.917,161,22.767,220
Treron_sphenurus,11.575,6,6.275,178,23.325,210
Treron_phoenicopterus,13.7,7.21,7.9,196.75,27.925,235
Ducula_badia,16.965,9.015,8.43,240.25,28.935,486
Surniculus_lugubris,17.29,7.015,7.49,146,14.865,35
Hierococcyx_sparverioides,18.87,8.48,8.305,221.75,26.69,151
Hierococcyx_varius,17.305,8.07,7.66,199.5,23.805,103
Cuculus_saturatus,17.3,7.27,8.235,185.85,17.29,90.6
Cuculus_canorus,16.065,7.285,7.895,218.4,20.14,115
Cuculus_micropterus,20.025,7.845,9.13,197.05,19.44,119
Eudynamys_scolopaceus,20.75,10.13,11.1,194,34.76,180
Phaenicophaeus_tristis,20.005,8.745,11.58,161,37.59,139
Ceyx_erithaca,28.52,7.23,7.29,57,9.33,17.75
Merops_orientalis,23.2,6.32,5.12,92.05,10.2,14.8
Megalaima_haemacephala,13.775,9.295,9.545,79.5,19.74,44.55
Megalaima_asiatica,17.265,9.48,10.995,103.5,26.75,90.5
Megalaima_lineata,25.89,11.45,14.28,128.65,34.76,149
Megalaima_zeylanica,25.365,11.575,13.745,118,31.725,102
Megalaima_franklinii,17.95,10.2,11.175,103.85,26.865,63.5
Megalaima_virens,32.955,13.7,17.06,140.25,33.775,202
Picumnus_innominatus,10.96,4.46,4.565,59,11.485,10.2
Sasia_ochracea,11,3.945,4.7,54,13.35,9.7
Blythipicus_pyrrhotis,36.45,9.35,11.3,148.5,26.5,132
Chrysocolaptes_lucidus,41.2,11.7,12.7,179,30.5,142
Micropternus_brachyurus,18.2,7.25,7.95,131.5,21.3,69.5
Picus_flavinucha,29,10.15,10.1,171,28.9,177.25
Picus_chlorolophus,22.55,7.6,7.6,139,23.15,67
Picus_squamatus,32.85,9.85,9.6,157,30.8,170
Picus_canus,28.3,9.65,9.35,141.5,28.95,137
Dinopium_benghalense,28.6,8.6,9.75,152.5,27,100
Dendrocopos_canicapillus,12.7,4.7,5.1,87.5,14.95,25.9
Dendrocopos_auriceps,17.85,6.05,5.7,114,19.1,40
Dendrocopos_himalayensis,20.65,6.95,7.1,123.5,24.29,68
Dendrocopos_darjellensis,28.125,9.055,7.4,133,23.75,71
Dendrocopos_macei,20.4,6.3,6.4,108.75,18.575,40.6
Hypopicus_hyperythrus,24.86,5.925,6.25,124,20.75,46.75
Aceros_undulatus,183,51.79,81.065,480,67.98,2232.5
Aceros_nipalensis,187,50.78,76.295,455,70.505,2385
Anthracoceros_albirostris,126.94,37.605,79.83,300.5,59.72,786.75
Ocyceros_birostris,88.72,22.925,39.2,228,43.885,375
Buceros_bicornis,268,55.96,120,532.5,87.89,2798.5
Harpactes_erythrocephalus,12.395,8.66,10.53,153.5,17.08,80.3
Harpactes_wardi,10.85,7.95,10.75,161,16.7,119
Glaucidium_radiatum,11.58,8.525,11.035,135.5,25.355,102
Glaucidium_cuculoides,13.83,10.015,12.485,150.5,29.575,162.5
Glaucidium_brodiei,9.845,5.205,8.985,91,19.8,58
Psittacula_alexandri,26.04,15.605,25.54,169,15.89,150.5
Psittacula_eupatria,35.835,21.295,38.79,224,19.08,228
Psittacula_krameri,25.2,14.64,21.215,165.4,18.72,119
Psittacula_himalayana,22.945,14.04,21.38,164.55,14.9,110.9
Microhierax_caerulescens,10.235,8.245,9.185,108.1,22.115,40
Spelaeornis_formosus,7.825,2.525,3.2,48,20.025,11
Sturnia_malabarica,13.915,6.095,5.945,103.15,25.01,39.6
Acridotheres_tristis,17.455,7.77,9.225,144,41.935,116.6
Gracula_religiosa,19.995,10.385,11.75,168.5,36.185,192
Enicurus_maculatus,15.1,4.48,4.55,106.5,29.47,41
Cinclidium_frontale,9.315,3.15,3.815,93.5,27.9,25.4
Myophonus_caeruleus,18.85,7.05,9.775,172,52.125,158
Myiomela_leucura,10,3.433,4.256,95.556,27.875,25
Tarsiger_rufilatus,6.85,2.864,2.964,82.182,26,14.8
Tarsiger_indicus,7.85,3,3.05,80,28.95,14.6
Tarsiger_chrysaeus,7.7,2.85,2.806,66.125,29.15,13.8
Muscicapa_ruficauda,7.748,3.912,3.382,75.8,16.9,13.3
